2026-05-03 23:48:36 | INFO    | src.models.phase4.cv | Inner CV best: family=random_forest task=regression score=-1.3156 params={'model__max_depth': 6, 'model__min_samples_leaf': 20, 'model__n_estimators': 500}
2026-05-03 23:48:36 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=random_forest task=regression
2026-05-03 23:50:08 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=random_forest target=log_roi OOF=cvrmse=0.9770, mae=0.9337, mse=1.7328, rmse=1.3164 inner_best_params={'model__max_depth': 6, 'model__min_samples_leaf': 20, 'model__n_estimators': 500}
2026-05-03 23:50:08 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=random_forest target=roi_gt_1 task=classification
2026-05-03 23:50:08 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=random_forest task=classification X.shape=(1199, 92)
2026-05-03 23:50:20 | INFO    | src.models.phase4.cv | Inner CV best: family=random_forest task=classification score=0.6043 params={'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}
2026-05-03 23:50:20 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=random_forest task=classification
2026-05-03 23:50:43 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=random_forest target=roi_gt_1 OOF=auc_roc=0.6159, f1=0.8937, log_loss=0.4756, pr_auc=0.8661 inner_best_params={'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}
2026-05-03 23:50:43 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=random_forest target=roi_gt_2 task=classification
2026-05-03 23:50:43 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=random_forest task=classification X.shape=(1199, 92)
2026-05-03 23:50:55 | INFO    | src.models.phase4.cv | Inner CV best: family=random_forest task=classification score=0.6327 params={'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}
2026-05-03 23:50:55 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=random_forest task=classification
2026-05-03 23:51:13 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=random_forest target=roi_gt_2 OOF=auc_roc=0.6251, f1=0.7353, log_loss=0.6507, pr_auc=0.7446 inner_best_params={'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}
2026-05-03 23:51:13 | INFO    | src.experiments.save_run | Run finished: phase=phase_4 name=standalone_positive_union_random_forest dir=runs/phase_4/20260503_2347_standalone_positive_union_random_forest
2026-05-03 23:51:13 | INFO    | src.models.phase4.benchmark | Cell start: matrix=standalone_positive_union family=svm_rbf X=(1199, 92)
2026-05-03 23:51:13 | INFO    | src.experiments.save_run | Run started: phase=phase_4 name=standalone_positive_union_svm_rbf dir=runs/phase_4/20260503_2351_standalone_positive_union_svm_rbf
2026-05-03 23:51:13 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=svm_rbf target=log_roi task=regression
2026-05-03 23:51:13 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=svm_rbf task=regression X.shape=(1199, 92)
2026-05-03 23:51:15 | INFO    | src.models.phase4.cv | Inner CV best: family=svm_rbf task=regression score=-1.3334 params={'model__C': 3, 'model__gamma': 0.003}
2026-05-03 23:51:15 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=svm_rbf task=regression
2026-05-03 23:51:16 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union family=svm_rbf target=log_roi OOF=cvrmse=0.9923, mae=0.9403, mse=1.7876, rmse=1.3370 inner_best_params={'model__C': 3, 'model__gamma': 0.003}
2026-05-03 23:51:16 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union family=svm_rbf target=roi_gt_1 task=classification
