matrix,target,task,metric,stack_value,best_base_value,n_train,meta_coefs,meta_intercept
standalone_positive_union_mpnet,log_roi,regression,mse,1.7215474600644947,1.7167132594586452,1199,"{'linear': 0.017220101461880875, 'histgb': 0.06081329223822127, 'random_forest': 0.6677938307493817, 'svm_rbf': 1.5533512426340577, 'lightgbm': -0.4349292244498012, 'xgboost': 0.6251238516368209}",-1.079661049824065
standalone_positive_union_mpnet,log_roi,regression,rmse,1.31207753584325,1.3102340475879282,1199,"{'linear': 0.017220101461880875, 'histgb': 0.06081329223822127, 'random_forest': 0.6677938307493817, 'svm_rbf': 1.5533512426340577, 'lightgbm': -0.4349292244498012, 'xgboost': 0.6251238516368209}",-1.079661049824065
standalone_positive_union_mpnet,log_roi,regression,mae,0.9257798193967837,0.9283410069551682,1199,"{'linear': 0.017220101461880875, 'histgb': 0.06081329223822127, 'random_forest': 0.6677938307493817, 'svm_rbf': 1.5533512426340577, 'lightgbm': -0.4349292244498012, 'xgboost': 0.6251238516368209}",-1.079661049824065
standalone_positive_union_mpnet,log_roi,regression,cvrmse,0.973769052025836,0.9724008921711276,1199,"{'linear': 0.017220101461880875, 'histgb': 0.06081329223822127, 'random_forest': 0.6677938307493817, 'svm_rbf': 1.5533512426340577, 'lightgbm': -0.4349292244498012, 'xgboost': 0.6251238516368209}",-1.079661049824065
standalone_positive_union_mpnet,roi_gt_1,classification,auc_roc,0.6344032773601045,0.635326160356548,1199,"{'linear': 0.49956635129782606, 'histgb': 0.28232578478315934, 'random_forest': 0.6243414716287963, 'svm_rbf': 1.9144853759546319, 'lightgbm': 0.20535119099094953, 'xgboost': 0.9862394929105543}",-1.3905541996834443
standalone_positive_union_mpnet,roi_gt_1,classification,pr_auc,0.8707700670457883,0.8770537283288973,1199,"{'linear': 0.49956635129782606, 'histgb': 0.28232578478315934, 'random_forest': 0.6243414716287963, 'svm_rbf': 1.9144853759546319, 'lightgbm': 0.20535119099094953, 'xgboost': 0.9862394929105543}",-1.3905541996834443
standalone_positive_union_mpnet,roi_gt_1,classification,f1,0.8927911275415896,0.8942263279445728,1199,"{'linear': 0.49956635129782606, 'histgb': 0.28232578478315934, 'random_forest': 0.6243414716287963, 'svm_rbf': 1.9144853759546319, 'lightgbm': 0.20535119099094953, 'xgboost': 0.9862394929105543}",-1.3905541996834443
standalone_positive_union_mpnet,roi_gt_1,classification,log_loss,0.4727233796961064,0.4730016760611232,1199,"{'linear': 0.49956635129782606, 'histgb': 0.28232578478315934, 'random_forest': 0.6243414716287963, 'svm_rbf': 1.9144853759546319, 'lightgbm': 0.20535119099094953, 'xgboost': 0.9862394929105543}",-1.3905541996834443
standalone_positive_union_mpnet,roi_gt_2,classification,auc_roc,0.655640674874601,0.6520261437908497,1199,"{'linear': -1.11605184810912, 'histgb': -0.7353203140797758, 'random_forest': 0.2795871753081359, 'svm_rbf': 2.410201651209, 'lightgbm': -0.802788122713553, 'xgboost': 4.070519593755146}",-1.617233943157388
standalone_positive_union_mpnet,roi_gt_2,classification,pr_auc,0.7644676612093654,0.7688194512225127,1199,"{'linear': -1.11605184810912, 'histgb': -0.7353203140797758, 'random_forest': 0.2795871753081359, 'svm_rbf': 2.410201651209, 'lightgbm': -0.802788122713553, 'xgboost': 4.070519593755146}",-1.617233943157388
standalone_positive_union_mpnet,roi_gt_2,classification,f1,0.7724986025712689,0.7815845824411135,1199,"{'linear': -1.11605184810912, 'histgb': -0.7353203140797758, 'random_forest': 0.2795871753081359, 'svm_rbf': 2.410201651209, 'lightgbm': -0.802788122713553, 'xgboost': 4.070519593755146}",-1.617233943157388
standalone_positive_union_mpnet,roi_gt_2,classification,log_loss,0.6170931069277276,0.6263308530637912,1199,"{'linear': -1.11605184810912, 'histgb': -0.7353203140797758, 'random_forest': 0.2795871753081359, 'svm_rbf': 2.410201651209, 'lightgbm': -0.802788122713553, 'xgboost': 4.070519593755146}",-1.617233943157388
